Policy,Tag,Net Support,Salience,Policy Text,Democratic Argument 1,Democratic Argument 2,Republican Argument 1,Republican Argument 2
End remote work for federal employees,66,13,0.5,Some Republicans in the Trump administration are proposing to end widespread remote work for federal employees. Under this policy the Trump administration will require most federal workers to return to their offices 4-5 days per week.,Democrats oppose this policy because they say it represents an outdated and inefficient approach to managing the federal workforce.,Democrats oppose this policy because they say it ignores the proven success of remote work during the pandemic and will hurt recruitment and retention of skilled federal workers.,Republicans support this policy because they say we need to restore order and efficiency to government operations.,Republicans support this policy because they say remote work has reduced productivity and accountability in federal agencies and taxpayers deserve in-person service.
Guarantee abortion rights before 24 weeks,92,13,0.75,"Some Democrats in Congress have proposed guaranteeing abortion rights until the 24th week of a pregnancy. Under this policy, abortion would be legal nationwide before 24 weeks, with exceptions granted afterwards if the life of the mother is at risk.","Democrats support this policy because they say access to reproductive health is a basic right, and that this bill will protect women whose lives are threatened by pregnancies with health complications.","Democrats support this policy because they say health care decisions should be between a woman and her doctor, not politicians.",Republicans oppose this bill because they say states should be allowed to make their own decisions about how to regulate abortion.,"Republicans oppose this bill because they say fetuses are human life and deserve to be protected, not aborted."
Increase Social Security Disability Insurance payments,113,13,0.5,"Some Democrats in Congress have proposed spending $25 billion a year to increase Social Security Disability Insurance (SSDI) payments by $200 per month per recipient. Social Security Disability Insurance provides monthly payments to disabled Americans who have paid into Social Security for at least 10 years, but are now unable to work due to medical conditions. Under this bill, SSDI payments would be increased from $1,600 a month to $1,800 a month per recipient.","Democrats support this policy because they say it's unfair that current disability benefits are insufficient to cover basic living expenses, forcing many disabled Americans to live in poverty despite having worked and paid into the system.","Democrats support this policy because they say that with costs on the rise, we should provide some additional support vulnerable citizens who cannot work due to circumstances beyond their control.",Republicans oppose this policy because they say increasing benefits without addressing the program's financial sustainability will accelerate its insolvency and lead to larger benefit cuts in the future.,"Republicans oppose this policy because they say spending tens of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs."
Raise corporate tax rate to 28%,148,13,0.75,"Some Democrats in Congress have proposed raising the corporate tax rate from 21% to 28%. Under this policy, corporations would have to pay an additional 7% in taxes on their profits each year.","Democrats support this policy because they say it will ensure large corporations pay their fair share and generate revenue needed for investments in infrastructure, education, and healthcare that benefit all Americans.",Democrats support this policy because they say it makes the tax system more fair and helps fund vital programs without burdening working families.,"Republicans oppose this policy because they say higher corporate taxes will kill jobs, reduce wages, increase consumer prices, and make American companies less competitive globally.",Republicans oppose this policy because they say it would reverse economic growth and ultimately hurt workers and families through lower employment and higher prices.
Raise the minimum wage to $15 an hour,152,13,0.75,Some Democrats in Congress have proposed raising the federal minimum wage to $15 per hour over six years. Under this policy the minimum wage would gradually increase from the current $7.25 rate.,Democrats support this policy because they say increasing the minimum wage will boost the economy by putting more money in workers' pockets to spend on goods and services.,"Democrats support this policy because they say no one working full-time should live in poverty, and that this is a reasonable increase businesses can handle.",Republicans oppose this bill because they say it would force small businesses to cut jobs and raise prices for consumers.,Republicans oppose this bill because they say government mandates hurt businesses and hurt workers by killing entry-level jobs.
Remove protections for transgender migrants,161,13,0.5,Some Republicans in the Trump administration are proposing to end special protections for transgender migrants in government custody. Under this policy the Trump administration will house migrants based on biological sex and limit certain medical accommodations.,Democrats oppose this policy because they say it represents inhumane treatment of people seeking refuge.,Democrats oppose this policy because they say it endangers already vulnerable migrants and denies basic human rights to people seeking safety in America.,Republicans support this policy because they say we need practical policies that put American interests first.,Republicans support this policy because they say current policies create security risks in detention facilities and drain resources needed for border security.
Complete the border wall,25,12,1,"Some Republicans in the Trump administration are proposing to complete the U.S.-Mexico border wall. Under this policy, the Trump administration would send the National Guard to the U.S.-Mexico border and restart construction of the border wall.","Democrats oppose this policy because they say that it will be ineffective at reducing illegal immigration, put migrants in danger, and we can create a secure and fair immigration system without these extreme measures.",Democrats oppose this policy because they say a border wall would not address the root cause of immigration and unnecessarily increase federal spending.,Republicans support this policy because they say that it will send a tough signal and encourage migrants to follow the law and get in line to enter the country legally.,Republicans support this policy because they say completing the border wall would enhance national security by better controlling undocumented immigration.
Create a 3 year clock for environmental review for new infrastructure projects,32,12,0.5,"Some Republicans in the Trump administration have proposed reforming the building process for new federal infrastructure projects. Under this bill, government infrastructure projects would be limited to spending three years reviewing the environmental impacts of a project before starting to build. Lawsuits that delay new infrastructure projects would be limited to 3 years as well.",Democrats oppose this policy because they say letting the government cut corners could lead to dangerous consequences for local communities and the environment.,"Democrats oppose this policy because they say that it undermines local control, limiting the ability of communities to determine what is built near them or to ensure projects are safe.","Republicans support this policy because they say America's infrastructure is crumbling, and endless reviews and lawsuits delay critical projects like bridges and public transit that would benefit communities and create jobs.",Republicans support this policy because they say reasonable time limits on reviews would lower costs while allowing America to build more infrastructure more quickly.
Declare a national energy emergency,45,12,0.75,Some Republicans in the Trump administration are proposing to declare a national energy emergency to speed up permits for energy projects. Under this policy the Trump administration will fast-track approval for pipelines power plants and other energy infrastructure.,Democrats oppose this policy because they say it would bypass important environmental reviews and community input processes that protect public health and safety.,Democrats oppose this policy because they say it puts corporate profits ahead of environmental protection.,Republicans support this policy because they say we must act decisively to secure America's energy future.,Republicans support this policy because they say bureaucratic red tape is blocking vital energy projects needed for American energy independence.
Increase deportations from Biden-era levels,99,12,1,"Some Republicans in the Trump administration are proposing to expand mass deportations. Under this policy, the Trump administration would intensify deportation efforts, reassigning federal agents to assist ICE in carrying out sweeping raids and creating detention camps to hold immigrants while their cases are being processed.","Democrats oppose this policy because they say that it will be ineffective at reducing illegal immigration, put migrants in danger, and we can create a secure and fair immigration system without these extreme measures.",Democrats oppose this policy because they say mass deportations do not address the root cause of undocumented immigration and would tear apart communities.,Republicans support this policy because they say that it will send a tough signal and encourage migrants to follow the law and get in line to enter the country legally.,Republicans support this policy because they say it is necessary to make sure the U.S. controls its borders and protects American citizens' jobs against undocumented workers.
Require congressional approval for new tariffs,174,12,0.5,"Some Democrats in Congress have proposed requiring the president to get approval from Congress before enacting new tariffs on foreign trade. Under this policy, the president would not be allowed to create new taxes on imported goods without approval from the House and Senate.",Democrats support this policy because they say it restores the constitutional balance of powers and prevents harmful trade wars that hurt American consumers and businesses through higher prices.,Democrats support this policy because they say trade policy should reflect democratic consensus rather than presidential whims that can disrupt global markets and diplomatic relationships.,Republicans oppose this policy because they say it would prevent the president from being able to respond to unfair trade practices and negotiate better deals for American workers and businesses.,"Republicans oppose this policy because they say Congress moves too slowly to effectively address rapidly changing trade situations, and the president needs flexibility to protect American economic interests."
Ban entry from some Muslim-majority countries,13,11,0.5,"Some Republicans in the Trump administration are proposing to refuse asylum claims from certain Muslim-majority nations. Under this policy, the Trump administration would ban refugee resettlement from certain areas like Gaza and restrict entry into the U.S. by foreign nationals from some Muslim-majority countries.","Democrats oppose this policy because they say we should ensure that our treatment of immigrants is humane and constitutional, regardless of their immigration status.","Democrats oppose this policy because they say people who request asylum are doing so because they are unsafe in their home countries, and refusing asylum claims from Muslim-majority nations is racist and inhumane.",Republicans support this policy because they say it is necessary to make sure the U.S. controls its borders and protects American citizens' jobs.,"Republicans support this policy because they say certain countries are more dangerous than others, and we should prevent immigration from those countries in order to keep Americans safe."
Ban partisan gerrymandering,18,11,0.5,"Some Democrats in Congress have proposed making the Congressional redistricting process non-partisan. Under this policy, independent commissions would be established in each state to draw congressional district maps, preventing both Democratic and Republican politicians from creating districts that advantage themselves.",Democrats support this policy because they say that we shouldn’t let politicians choose their own voters. Independent commissions will help ensure that our elections are fair.,"Democrats support this policy because they say that non partisan redistricting would make elections more competitive, and help ensure every voter has a say in who represents them.","Republicans oppose this policy because they say so-called ""independent"" commissions would be dominated by liberal academics and bureaucrats who would draw maps favoring Democrats.",Republicans oppose this policy because they say Democrats just want a redistricting process that advantages them. They say this bill is just a power grab by Democrats.
End policies promoting electric vehicles,65,11,0.75,Some Republicans in the Trump administration are proposing to end federal policies that encourage electric vehicle adoption and efficiency standards. Under this policy the Trump administration will eliminate programs promoting electric cars and roll back efficiency rules for consumer appliances.,Democrats oppose this policy because they say it will increase pollution and energy costs for consumers while making America fall behind other countries in clean vehicle technology.,Democrats oppose this policy because they say it represents a harmful reversal of environmental progress.,Republicans support this policy because they say we must protect consumer choice and affordability.,Republicans support this policy because they say current policies force expensive electric vehicles on consumers and restrict their freedom to choose affordable traditional cars and appliances.
Restrict export of semiconductors to China,181,11,1,"Some Democrats in Congress have proposed preventing American companies and American allies from selling the most advanced type of computer chips to China, in order to prevent China from getting access to this advanced technology.","Democrats support this policy because they say it will protect the United States, by ensuring the US military and the US economy remain the most technologically advanced in the world. 
","Democrats support this policy because they say this policy will boost the domestic semiconductor manufacturing industry, creating thousands of good paying jobs.","Republicans oppose this policy because they say it will interrupt global supply chains and increase costs for American businesses and consumers.
","Republicans oppose this policy because they say export controls don't work, and China will buy these chips anyway, so American companies might as well benefit from selling them to China."
Suspend refugee program,187,11,0.75,Some Republicans in the Trump administration are proposing to suspend the US refugee resettlement program for at least four months. Under this policy the Trump administration will stop accepting and processing all refugee applications.,Democrats oppose this policy because they say it betrays American humanitarian values.,Democrats oppose this policy because they say it abandons vulnerable refugees who have already been extensively vetted and leaves them in dangerous situations.,Republicans support this policy because they say we need time to review and strengthen the vetting process to ensure refugees don't pose security risks.,Republicans support this policy because they say we must put American security first.
Ban release of AI models that can make bioweapons,19,10,0.5,"Some Democrats in Congress have proposed banning the release of Artificial Intelligence systems that have highly advanced capabilities in biological research. Under this bill, Artificial Intelligence systems that are capable of helping users design and manufacture bio-weapons, such as viruses and poisons, would not be allowed to be released to the public.",Democrats support this policy because they say it is important to prevent terrorists and other bad actors from being able to build biological weapons.,Democrats support this policy because they say allowing companies to release tools that can help build bioweapons will endanger public safety.,"Republicans oppose this policy because they say this would reduce technological progress in fields with potential benefits, such as medical research and drug development.
","Republicans oppose this policy because they say it will limit the growth of the biotechnology industry, harming the economy and costing jobs.
"
Close billionaire inheritance tax loophole (repeal “step-up in basis”),24,10,0.5,"Some Democrats in Congress have proposed ending the step-up in basis rule for billionaires, which allows wealthy heirs to avoid paying taxes on stock they inherit. Under this policy heirs would pay taxes when selling inherited stocks from estates over $1 billion.",Democrats support this policy because they say it's not right that billionaires exploit this loophole to avoid paying billions in taxes on investment gains.,Democrats support this policy because they say the ultra-wealthy should pay their fair share like everyone else.,Republicans oppose this bill because they say it would hurt family businesses and farms passed between generations.,Republicans oppose this bill because they say the government shouldn't create new taxes targeting success.
Require background checks for all gun purchases,172,10,1,"Some Democrats in Congress have proposed requiring a background check for all gun purchases. The law would make it a crime for anyone who is not a licensed firearms dealer to purchase a gun or receive a gun from a friend without a government performed background check. This bill would apply to all Americans, regardless of whether or not they have a prior criminal record.",Democrats support this policy because they say it's a practical measure that will save lives while still preserving the rights of responsible gun owners.,Democrats support this policy because they say it will reduce the risk of gun violence and help law enforcement keep weapons out of the wrong hands.,"Republicans oppose this policy because they say it does nothing to stop criminals from getting guns, and we should be focused on reducing crime, not on restricting the rights of law-abiding citizens.",Republicans oppose this policy because they say it punishes harmless actions—like loaning a gun to a friend—without doing enough to deter illegal gun trafficking or violent crime.
Require regulatory pre-approval for new frontier AI models,177,10,0.5,"Some Democrats in Congress are proposing requiring Artificial Intelligence companies to receive regulatory approval before releasing more powerful systems. Under this bill, systems more powerful than “ChatGPT” would have to be inspected for safety by an independent government research body before they were released to the public.","Democrats support this policy because they say it will help protect the public from potential harms caused by the technology, such as fraud, cyberattacks, privacy concerns, and discrimination.
","Democrats support this policy because they say we should be concerned about the risks that powerful Artificial Intelligence programs pose to national security, such as by enabling cyberattacks.","Republicans oppose this policy because they say  more regulation will put the U.S. at a competitive disadvantage globally, especially given rapid advancements in Artificial Intelligence by other countries.","Republicans oppose this policy because they say it will impose additional bureaucracy and unnecessary costs on companies, slowing the development of new technologies and solutions.
"
Exclude overtime pay from federal taxes,69,9,0.75,"Some Republicans in the Trump administration are proposing to exclude overtime pay from federal taxes. Under this policy, the Trump administration will eliminate federal taxes on overtime pay.","Democrats oppose this policy because they say taxes help fund essential government services like Social Security and Medicare, and wealthy people and businesses would use this as a loophole to avoid paying taxes.",Democrats oppose this policy because they say it would limit essential government services and increase the federal deficit.,Republicans support this policy because they say it would increase wages for workers.,Republicans support this policy because they say it would incentivize employers to pay workers fairly for extra hours worked and increase take-home pay for workers.
Expand school choice,76,9,0.75,"Some Republicans in the Trump administration are proposing to expand school choice. Under this policy, the Trump administration would expand options for parents to send their children to schools other than the local public school, by providing more school vouchers to expand charter and private school options and by providing tax credits for charter, private, and homeschool education.","Democrats oppose this policy because they say school choice diverts resources from public schools, increasing inequality and underfunding for disadvantaged students.",Democrats oppose this policy because they say it would cut support for low-income students and increase inequality in education.,Republicans support this policy because they say school choice allows parents to choose the best education options for their children.,Republicans support this policy because they say it would reduce federal spending and give parents more control over their children's education.
Increase fossil fuel production and make it easier for oil companies to get drilling leases,100,9,1,"Some Republicans in the Trump administration are proposing to increase fossil fuel production. Under this policy, the Trump administration would make it easier for oil companies to get drilling leases on federal land and build the required energy infrastructure.","Democrats oppose this policy because they say it will lead to more severe natural disasters and other negative impacts of climate change, putting Americans in harm's way.","Democrats oppose this policy because they say increasing fossil fuel production would increase pollution, harm the environment, and accelerate climate change and natural disasters.","Republicans support this policy because they say it would reduce U.S. dependence on foreign energy sources, ensuring energy security and promoting economic growth.",Republicans support this policy because they say it will promote economic growth and freedom.
Increase protections for workers who organize or strike,108,9,0.75,"Some Democrats in Congress have proposed strengthening union organizing rights. Under this policy employers would face increased penalties for firing workers who try to form unions, and workers would get increased protections for organizing and striking.",Democrats support this policy because they say it would stop companies from illegally blocking unions and restore worker power.,Democrats support this policy because they say workers deserve a voice on the job and shouldn't be fired for organizing.,"Republicans oppose this bill because they say it would kill jobs, force union dues, and hurt the economy.",Republicans oppose this bill because they say unions hurt business competitiveness and hurt the economy.
Prevent DOGE from making any changes to the administration of Social Security or Medicare benefits,137,9,0.25,"Some Democrats in Congress have proposed preventing the Department of Government Efficiency, also known as DOGE, from making any changes to the administration of Social Security or Medicare. Under this bill, DOGE would not be allowed to fire workers responsible for administering Social Security or Medicare, or make any changes to who receives Social Security or Medicare benefits.",Democrats support this policy because they say it protects essential benefits that seniors have earned and prevents unelected officials from undermining programs millions of Americans rely on for retirement security and healthcare.,Democrats support this policy because they say it safeguards critical safety net programs from arbitrary cuts that could harm vulnerable Americans.,Republicans oppose this policy because they say it prevents common-sense reforms that could improve services for beneficiaries while reducing waste and administrative bloat in these important programs.,Republicans oppose this policy because they say it preserves inefficiency and bureaucracy in government programs that need modernization to remain solvent for future generations.
Prohibit discrimination against LGBT people in housing and employment,139,9,0.75,"Some Democrats in Congress have proposed making it illegal to discriminate against gay and transgender Americans in housing or employment. Under this bill, it would be illegal to fire someone or refuse to rent to someone just because they are gay or transgender.",Democrats support this policy because they say it's not right for people to be fired or denied housing just for who you are or who you love.,"Democrats support this policy because they say that this country was founded on the idea of equal rights for all, and we shouldn't discriminate against people for their identity.",Republicans oppose this bill because they say it would force people to violate their religious beliefs about marriage and gender.,Republicans oppose this bill because they say people shouldn't be forced to rent to or hire people whose lifestyles they think are morally wrong.
Block Texas abortion law,21,8,0.5,"Some Democrats in Congress have proposed a bill that would block a recent Texas law from being enforced. Under the new Texas law, abortion is banned after six weeks of pregnancy, and private citizens are allowed to bring civil law suits against anyone who assists a pregnant woman seeking an abortion in violation of the ban for $10,000. Under the new bill Democrats are proposing, this Texas law would be blocked from being enforced.
","Democrats support this policy because they say it's not right to ban abortion after six weeks, before most women even know they're pregnant.","Democrats support this policy because they say reproductive rights must be protected, not threatened with lawsuits and vigilante justice.",Republicans oppose this bill because they say states should be free to make their own laws about abortion.,"Republicans oppose this bill because they say abortion is wrong, and the Texas law provides important protections for unborn life."
Paid family and medical leave (means-tested),129,8,0.75,"Some Democrats in Congress have proposed spending $15 billion a year to create a national paid family and medical leave program for some American workers. Under this policy American workers who earn less than $75,000 would get 12 weeks of paid leave for the birth of a new child, illness, or caregiving, regardless of their income.",Democrats support this policy because they say it's not right that the United States is the only developed nation without paid family and medical leave.,Democrats support this policy because they say everyone deserves to be able to take time to care for loved ones and new children without risking their job.,"Republicans oppose this bill because they say that with the national debt already too high, we shouldn't be spending billions of dollars a year on new programs.","Republicans oppose this bill because they say that with inflation already too high, the government shouldn't be mandating new employee benefits that will drive up business costs."
Paid family and medical leave (universal),130,8,0.75,"Some Democrats in Congress have proposed spending $20 billion a year to create a national paid family and medical leave program. Under this policy all workers would get 12 weeks of paid leave for the birth of a new child, illness, or caregiving, regardless of their income.",Democrats support this policy because they say it's not right that the United States is the only developed nation without paid family and medical leave.,Democrats support this policy because they say everyone deserves to be able to take time to care for loved ones and new children without risking their job.,"Republicans oppose this bill because they say that with the national debt already too high, we shouldn't be spending billions of dollars a year on new programs.","Republicans oppose this bill because they say that with inflation already too high, the government shouldn't be mandating new employee benefits that will drive up business costs."
Prevent DOGE from cutting spending without Congressional approval,136,7,0.25,"Some Democrats in Congress have proposed requiring the Department of Government Efficiency (DOGE) to obtain Congressional approval before cutting federal spending. Under this policy, DOGE would not be allowed to cut government spending without authorization from lawmakers.",Democrats support this policy because they say it preserves the constitutional authority of Congress over federal spending and prevents unelected officials from making cuts that could harm essential services.,"Democrats support this policy because they say DOGE shouldn't be allowed to cut programs without Congressional approval, because that would mean DOGE could cut Medicaid, Medicare, or Social Security.",Republicans oppose this policy because they say it would maintain wasteful bureaucracy by allowing career politicians to block efficiency reforms that threaten their pet projects and special interests.,Republicans oppose this policy because they say it would render DOGE ineffective at its core mission of streamlining government and reducing unnecessary spending that burdens taxpayers.
Create a public option for health insurance,35,6,0.75,"Some Democrats in Congress have proposed spending $125 billion a year to give Americans the option to buy health insurance through a government run program modeled on Medicare. This proposal, sometimes called a public option, would allow Americans to pay a monthly premium to the government, in exchange for receiving a health insurance plan with benefits similar to the national Medicare program. The public option plan would be subsidized by the federal government to make it more affordable.",Democrats support this policy because they say it will provide an affordable alternative to private insurance that would increase competition and help drive down healthcare costs for all Americans.,Democrats support this policy because they say it expands healthcare access and lowers costs while protecting private insurance and preserving consumer choice.,"Republicans oppose this policy because they say it would eventually drive private insurers out of business, leading to a complete government takeover of healthcare and reducing quality and access to care.",Republicans oppose this policy because they say we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.
Declare a border emergency,44,6,1,Some Republicans in the Trump administration are proposing to declare the border situation a national emergency to unlock funding for wall construction. Under this policy the Trump administration will bypass Congress to redirect federal funds toward building more border wall.,Democrats oppose this policy because they say it's an abuse of emergency powers to bypass Congress's constitutional authority over spending and that walls are ineffective at stopping illegal crossings.,Democrats oppose this policy because they say it represents executive overreach and wastes taxpayer money on ineffective solutions.,Republicans support this policy because they say we must take bold action to secure our borders and protect American communities.,Republicans support this policy because they say the surge in illegal crossings constitutes a genuine emergency requiring immediate action that can't wait for a gridlocked Congress.
Deregulate energy production,50,6,0.75,Some Republicans in the Trump administration are proposing to roll back regulations that restrict domestic energy production. Under this policy the Trump administration will eliminate rules limiting oil gas and coal development.,Democrats oppose this policy because they say it would increase pollution and accelerate climate change while mainly benefiting fossil fuel companies.,Democrats oppose this policy because they say it threatens public health and environmental protection.,Republicans support this policy because they say we need to unleash American energy independence.,Republicans support this policy because they say excessive regulations are holding back American energy production and keeping energy prices high for consumers.
End federal DEI programs,63,6,0.75,Some Republicans in the Trump administration are proposing to eliminate diversity equity and inclusion programs across federal agencies. Under this policy the Trump administration will end DEI training initiatives and related programs.,Democrats oppose this policy because they say it will harm workplace fairness and remove programs that help ensure federal services reach underserved communities.,Democrats oppose this policy because they say it represents a step backward for equality and fairness.,Republicans support this policy because they say we need to restore merit-based systems in government.,Republicans support this policy because they say these programs promote division create wasteful bureaucracy and discriminate against certain groups of Americans.
Free school lunch (means-tested),87,6,0.5,"Some Democrats in Congress have proposed spending $5 billion a year to make school lunch free for students from families earning under $125,000. Under this policy, qualifying students would receive free meals while others would pay.","Democrats support this policy because they say with inflation on the rise, helping working families afford school lunch will make it easier for them to get by.","Democrats support this policy because they say every child deserves healthy meals, and when kids aren't hungry they do better in school.",Republicans oppose this bill because they say it would waste money feeding children from families who can afford lunch.,Republicans oppose this bill because they say we shouldn't be spending billions on new programs when the national debt is already too high.
Increase IRS funding in order to increase audits of the wealthy,105,6,0.75,"Some Democrats in Congress have proposed increasing funding for the Internal Revenue Service (IRS) by 80 billion dollars over the next ten years. The additional funding would primarily go towards increasing the enforcement of tax laws on wealthy Americans, and would raise an estimated 700 billion dollars in revenue. 

",Democrats support this policy because they say it will ensure billionaires and large corporations pay their fair share of taxes rather than exploiting loopholes and hiding assets.,Democrats support this policy because they say it promotes tax fairness and generates revenue without raising taxes on working Americans.,"Republicans oppose this policy because they say that increasing spending on the IRS will lead to more middle class Americans being audited, and higher taxes on working people.",Republicans oppose this policy because they say it represents government overreach that will burden hardworking Americans with audits while the truly wealthy find new ways to avoid taxes.
Prevent kids under 13 from using social media,138,6,0.75,"Some Democrats in Congress have proposed preventing children under the age of 13 from using social media platforms. Under this policy, social media companies would be required to verify users' ages and block access to their platforms for anyone under 13.","Democrats support this policy because they say young children's developing brains are vulnerable to social media addiction and mental health harms, and they need protection from these negative effects.",Democrats support this policy because they say it gives parents more control over their children's online activities and protects kids' wellbeing during crucial developmental years.,"Republicans oppose this policy because they say it should be up to states to decide how to regulate social media, rather than a mandate from the federal government.","Republicans oppose this policy because they say the it should be up to parents to decide if their child uses social media, rather than the federal government interfering with the free market."
Prohibit non-compete agreements,141,6,0.75,"Some Democrats in Congress have proposed prohibiting employers from requiring non-compete agreements in hiring contracts. Under this policy, employers would not be allowed to restrict workers from working for competitors after leaving a job, except for senior executives with access to sensitive business information.","Democrats support this policy because they say non-compete clauses suppress wages, limit worker mobility, and stifle innovation by preventing employees from using their skills where they're most valued.","Democrats support this policy because they say that with costs on the rise, we should be reducing unnecessary regulations that raise prices, cost jobs, and hurt the economy.","Republicans oppose this policy because they say businesses have a legitimate interest in protecting trade secrets and customer relationships, and blanket prohibitions would harm companies that invest in training employees.","Republicans oppose this policy because they say the government shouldn't interfere with private contracts freely entered into by businesses and workers, and one-size-fits-all bans ignore industry-specific needs."
Repeal Trump's tariffs,171,6,0.5,"Some Democrats in Congress have proposed repealing the new tariffs on foreign trade imposed by the Trump administration. Under this policy, the additional taxes on imports from other countries that have been imposed by the Trump administration would be removed.","Democrats support this policy because they say that with inflation on the rise, now is not the time to be raising taxes on everyday goods like food and clothes that middle class families rely on.","Democrats support this policy because they say that the tariffs Trump has imposed are too large, and will raise costs, cost jobs, and hurt businesses and the economy.","Republicans oppose this policy because they say that for decades, Americans have been getting ripped off by other countries that charge American companies far more than we charge them, and this needs to stop.",Republicans oppose this policy because they say that the new tariffs will create jobs and strengthen our economy by bringing manufacturing back to the United States.
Expand police officers' authority to arrest people for disorderly or aggressive conduct in public,74,5,0.5,"Some Republicans in the Trump administration are proposing providing additional funding to states that impose harsher penalties for public disorder. Under this policy the Trump administration will reward states that expand police officers' authority to arrest people who are disorderly, or seem aggressive or unstable in public. ",Democrats oppose this policy because they say it would increase police violence and lead to police officers disproportionately targeting minorities.,Democrats oppose this policy because they say it threatens civil liberties by giving the police power to arrest anyone even if they haven't committed a crime.,Republicans support this policy because they say we need to restore law and order and crack down on rising crime and chaos.,"Republicans support this policy because they say with crime on the rise, public safety must be the top priority to protect citizens and public spaces."
Increase involuntary commitment for individuals with serious mental illness who are disorderly in public,104,5,0.75,"Some Republicans in the Trump administration have proposed a bill that would provide funding to states that increase involuntary commitment for those with mental illness or drug addictions. Under this bill, individuals with serious mental illness or drug addiction who are disorderly in public, or seem aggressive or unstable, would be placed in mental institutions, with or without their consent.",Democrats oppose this policy because they say it violates civil rights and could be used to arbitrarily detain vulnerable people without due process.,"Democrats oppose this policy because they say we need to address the root causes of addiction and mental illness, like poverty, not just lock people up.","Republicans support this policy because they say getting dangerous mentally ill people off the streets is necessary for public safety, especially with crime on the rise.",Republicans support this policy because they say we can't let our public spaces be overrun by unstable and dangerous people who are mentally ill and addicted.
Increase Pell Grants,106,5,0.5,"Some Democrats in Congress have proposed increasing federal ""Pell Grants"" for low-income college students. Under this policy, the government would spend $15 billion annually to provide eligible low-income students with an additional $2,000 in support.","Democrats support this policy because they say current Pell Grants cover less than 30% of college costs, and lower-income students deserve some extra support, especially with the cost of living on the rise.",Democrats support this policy because they say higher education should be accessible to all qualified students regardless of their financial circumstances.,"Republicans oppose this policy because they say increasing federal subsidies enables colleges to keep raising tuition, creating an inflationary cycle that ultimately hurts the students it aims to help.",Republicans oppose this policy because they say we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.
"Create an additional 10,000 medical residency slots per year",36,4,0.5,"Some Democrats in Congress have proposed spending $1 billion a year to the number of doctors who can be trained each year. Under current policy, the number of medical school graduates who are able to be trained to be doctors is limited to 40,000 per year. Under this new policy, that would be increased to 50,000, allowing an additional 10,000 doctors to be trained each year.","Democrats support this policy because they say America faces a severe doctor shortage, and more residency slots would help address this crisis, lowering health care costs and expanding access to care.","Democrats support this policy because they say all Americans deserve access to affordable, high quality healthcare, which requires training more doctors to meet growing demand and to lower rising costs.","Republicans oppose this policy because they say this Americans deserve the best possible medical care, and this policy will lead to poorly trained students becoming doctors without being properly prepared.",Republicans oppose this policy because they say we shouldn't be spending billions of dollars on new programs with inflation and the national debt already too high.
Expand the Earned Income Tax Credit,77,4,0.75,"​Some Democrats in Congress have proposed spending $20 billion a year to expand the Earned Income Tax Credit (EITC), which provides financial support and incentives to work for low-income workers. Under this policy, EITC benefits would be increased by $750 per eligible worker and more young and middle-income Americans would be made eligible for benefits.","Democrats support this policy because they say the EITC has proven to increase work and decrease poverty, and it's important to invest in programs that reward people for finding a job.","Democrats support this policy because they say the Earned Income Tax Credit rewards work while reducing poverty, and that with costs on the rise, lower income workers deserve a little extra support.",Republicans oppose this policy because they say expanding tax credits creates more dependency on government and discourages work and self-sufficiency.,"Republicans oppose this policy because they say spending billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs."
Cut federal funding for public schools teaching critical race theory,38,3,0.75,"Some Republicans in the Trump administration are proposing to cut federal funding for schools teaching critical race theory. Under this policy, the Trump administration would revoke federal funding for public schools that teach about racism and gender ideology.",Democrats oppose this policy because they say it would increase inequality in education and reduce academic freedom in schools.,Democrats oppose this policy because they say cutting federal funding would limit academic freedom and limit discussions on important social issues in schools.,Republicans support this policy because they say it would reduce federal spending and decrease ideological division in public schools.,"Republicans support this policy because they say it would create a more balanced educational environment, without teaching any divisive ideology."
