Policy,Coding,Bipartisan,Tag,Topic,Net Support,Democratic Position Support,Republican Position Support,Normie Position,Position Support,Opposition Support,Salience,Policy Text,Democratic Argument 1,Democratic Argument 2,Republican Argument 1,Republican Argument 2,Supporter Argument 1,Supporter Argument 2,Opponent Argument 1,Opponent Argument 2,Net Support (%),Democratic Position Support (%),Republican Position Support (%),Normie Position (%),Position Support (%),Opposition Support (%)
Increase funding for basic scientific research,Democratic,,101,,1,50,49,50,50,49,0.5,"Some Democrats in Congress have proposed spending $15 billion a year to increase funding for basic scientific research. Under this policy, the government would increase funding for research into medicine, renewable energy, computer chips, and other areas of scientific study from $55 billion a year to $70 billion per year.","that increasing funding for research will lead to scientific breakthroughs that improve public health, create new industries, and maintain America's global technological leadership.",investing in science creates high-paying jobs and drives innovation that benefits all Americans while addressing challenges like disease and climate change.,"the government is inefficient, and this money will probably be wasted. They say it would be better to let the free market handle this.",we shouldn't be spending billions of dollars on new programs with inflation and the national debt already too high.,"that increasing funding for research will lead to scientific breakthroughs that improve public health, create new industries, and maintain America's global technological leadership.",investing in science creates high-paying jobs and drives innovation that benefits all Americans while addressing challenges like disease and climate change.,"the government is inefficient, and this money will probably be wasted. They say it would be better to let the free market handle this.",we shouldn't be spending billions of dollars on new programs with inflation and the national debt already too high.,1.60%,50.80%,49.20%,50.80%,50.80%,49.20%
Eliminate programs to reduce pollution in low-income areas,Republican,,54,,-11,55,44,55,44,55,0.25,Some Republicans in the Trump administration are proposing to eliminate environmental justice initiatives across federal agencies. Under this policy the Trump administration will end programs focused on reducing pollution in disadvantaged communities.,it would leave vulnerable communities exposed to dangerous pollution and deny them equal environmental protection.,it abandons communities that need help most.,we need to reduce wasteful government programs.,these programs create unnecessary red tape and restrictions that block economic development in struggling areas.,we need to reduce wasteful government programs.,these programs create unnecessary red tape and restrictions that block economic development in struggling areas.,it would leave vulnerable communities exposed to dangerous pollution and deny them equal environmental protection.,it abandons communities that need help most.,-11.20%,55.60%,44.40%,55.60%,44.40%,55.60%
Suspend refugee program,Republican,,187,,11,44,55,55,55,44,0.75,Some Republicans in the Trump administration are proposing to suspend the US refugee resettlement program for at least four months. Under this policy the Trump administration will stop accepting and processing all refugee applications.,it betrays American humanitarian values.,it abandons vulnerable refugees who have already been extensively vetted and leaves them in dangerous situations.,we need time to review and strengthen the vetting process to ensure refugees don't pose security risks.,we must put American security first.,we need time to review and strengthen the vetting process to ensure refugees don't pose security risks.,we must put American security first.,it betrays American humanitarian values.,it abandons vulnerable refugees who have already been extensively vetted and leaves them in dangerous situations.,11.00%,44.50%,55.50%,55.50%,55.50%,44.50%
Designate cartels as terrorist organizations,Republican,,51,,42,28,71,71,71,28,0.75,"Some Republicans in the Trump administration are proposing to designate Mexican drug cartels as foreign terrorist organizations. Under this policy the Trump administration will treat cartels like other terrorist groups, allowing expanded law enforcement and military options against them.",it represents a dangerous escalation that could lead to unintended consequences.,it could damage US-Mexico relations and lead to military interventions that would destabilize the region and increase violence.,we must use every available tool to combat dangerous criminal organizations threatening American security.,cartels are already acting like terrorists through violence and trafficking and need to be fought with the full power of counter-terrorism tools.,we must use every available tool to combat dangerous criminal organizations threatening American security.,cartels are already acting like terrorists through violence and trafficking and need to be fought with the full power of counter-terrorism tools.,it represents a dangerous escalation that could lead to unintended consequences.,it could damage US-Mexico relations and lead to military interventions that would destabilize the region and increase violence.,42.80%,28.60%,71.40%,71.40%,71.40%,28.60%
"Reduce environmental review for clean energy projects (for clean energy projects only, excludes fossil fuel projects)",Democratic,,155,,-6,46,53,53,46,53,0.5,"Some Democrats in Congress have proposed reducing the regulations on new clean energy infrastructure projects. Under this policy, renewable energy projects would be subject to less strict environmental review.","that with costs on the rise, we need to make it easier to build clean energy to increase energy supply and lower electricity prices.","it creates a faster path to energy independence with clean, American-made power while creating good jobs.","any changes to regulations should apply to all industries, and these changes should apply to fossil fuel projects as well.",it ignores the needs of local communities that deserve to have a voice in whether or not these projects get built.,"that with costs on the rise, we need to make it easier to build clean energy to increase energy supply and lower electricity prices.","it creates a faster path to energy independence with clean, American-made power while creating good jobs.","any changes to regulations should apply to all industries, and these changes should apply to fossil fuel projects as well.",it ignores the needs of local communities that deserve to have a voice in whether or not these projects get built.,-6.80%,46.60%,53.40%,53.40%,46.60%,53.40%
"Create a ""Baby Bonds"" program",Democratic,,29,,-27,36,63,63,36,63,0.5,"Some Democrats in Congress have proposed spending $75 billion a year to create what they call “baby bonds.” Under this bill, every child born in America would be given a savings account with $1,000 dollars in it. Every year after, the government would deposit more money in the account, with children from poorer families receiving more, and children from wealthier families receiving less. After becoming adults, they would be allowed to use the money for certain purposes, such as buying a home or paying for college.","it will help close the racial wealth gap and give all young Americans a financial foundation for education, homeownership, or entrepreneurship regardless of their parents' resources.",it creates more equal opportunity and helps break cycles of poverty by ensuring all young adults have assets to invest in their future.,"spending hundreds of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs.",we shouldn't be spending hundreds of billions of dollars on new programs with inflation and the national debt already too high.,"it will help close the racial wealth gap and give all young Americans a financial foundation for education, homeownership, or entrepreneurship regardless of their parents' resources.",it creates more equal opportunity and helps break cycles of poverty by ensuring all young adults have assets to invest in their future.,"spending hundreds of billions of dollars on new programs will require tax increases to fund, which will hurt our economy and cost jobs.",we shouldn't be spending hundreds of billions of dollars on new programs with inflation and the national debt already too high.,-27.80%,36.10%,63.90%,63.90%,36.10%,63.90%
Increase Title 1 funding for low-income public schools,Democratic,,116,,1,50,49,50,50,49,0.5,"Some Democrats in Congress have proposed spending $10 billion a year to increase funding for public schools and other educational institutions that help low-income children. Under this bill, the government would increase support for low-income schools and educational programs from $15 billion to $25 billion. 
","that every child deserves to have the resources they need to get a good education, regardless of their income or family background.","it creates more equal opportunity for all children regardless of their zip code, and that it will pay for itself through increased economic growth.",federal education spending has consistently increased for decades without improving educational outcomes.,"education decisions should be made locally, not by Washington bureaucrats distributing taxpayer money.","that every child deserves to have the resources they need to get a good education, regardless of their income or family background.","it creates more equal opportunity for all children regardless of their zip code, and that it will pay for itself through increased economic growth.",federal education spending has consistently increased for decades without improving educational outcomes.,"education decisions should be made locally, not by Washington bureaucrats distributing taxpayer money.",1.20%,50.60%,49.40%,50.60%,50.60%,49.40%
Provide grants to cities and towns conditional on allowing more multi-family housing,Democratic,,147,,-15,42,57,57,42,57,0.5,"Some Democrats in Congress have proposed providing conditional grants to communities that allow more multi-family housing development. Under this policy, the government would offer $15 billion annually to localities that change zoning laws to permit more apartment buildings and denser housing construction.",it will help address the housing affordability crisis by increasing supply and giving more Americans access to housing.,it creates more inclusive communities while addressing one of the biggest cost pressures facing American families.,"it represents government overreach into zoning decisions that should be made by local communities, not by the federal government.",it would change the character of family neighborhoods and reduce property values for homeowners who worked hard to live there.,it will help address the housing affordability crisis by increasing supply and giving more Americans access to housing.,it creates more inclusive communities while addressing one of the biggest cost pressures facing American families.,"it represents government overreach into zoning decisions that should be made by local communities, not by the federal government.",it would change the character of family neighborhoods and reduce property values for homeowners who worked hard to live there.,-15.60%,42.20%,57.80%,57.80%,42.20%,57.80%
Define sex as binary and based on biology at birth across federal agencies,Republican,,47,,16,41,58,58,58,41,0.75,Some Republicans in the Trump administration are proposing to establish strict biological sex definitions for the federal government. Under this policy the Trump administration will define sex as binary and based on biology at birth across federal agencies.,it represents government overreach into personal identity and medical decisions.,it discriminates against transgender Americans and ignores modern medical understanding of gender identity.,we need common sense policies based on biological reality.,clear biological definitions are needed to protect women's sports and spaces and prevent confusion in federal policies.,we need common sense policies based on biological reality.,clear biological definitions are needed to protect women's sports and spaces and prevent confusion in federal policies.,it represents government overreach into personal identity and medical decisions.,it discriminates against transgender Americans and ignores modern medical understanding of gender identity.,16.20%,41.90%,58.10%,58.10%,58.10%,41.90%
Rename the Gulf of Mexico and Mt. Denali,Republican,,162,,-16,58,41,58,41,58,0.25,Some Republicans in the Trump administration are proposing to rename the Gulf of Mexico to Gulf of America and change back the name of Denali to Mount McKinley in Alaska. Under this policy the Trump administration will change these geographic names through executive order.,it represents disrespect for other cultures and history.,it disrespects Native American heritage and neighboring countries while wasting government resources on unnecessary changes.,we should celebrate American identity.,these American geographic features should have American names that reflect our nation's heritage and sovereignty.,we should celebrate American identity.,these American geographic features should have American names that reflect our nation's heritage and sovereignty.,it represents disrespect for other cultures and history.,it disrespects Native American heritage and neighboring countries while wasting government resources on unnecessary changes.,-16.80%,58.40%,41.60%,58.40%,41.60%,58.40%
Remove protections for transgender migrants,Republican,,161,,18,40,59,59,59,40,0.5,Some Republicans in the Trump administration are proposing to end special protections for transgender migrants in government custody. Under this policy the Trump administration will house migrants based on biological sex and limit certain medical accommodations.,it represents inhumane treatment of people seeking refuge.,it endangers already vulnerable migrants and denies basic human rights to people seeking safety in America.,we need practical policies that put American interests first.,current policies create security risks in detention facilities and drain resources needed for border security.,we need practical policies that put American interests first.,current policies create security risks in detention facilities and drain resources needed for border security.,it represents inhumane treatment of people seeking refuge.,it endangers already vulnerable migrants and denies basic human rights to people seeking safety in America.,18.20%,40.90%,59.10%,59.10%,59.10%,40.90%
Create a public option for health insurance,Democratic,,35,,5,52,47,52,52,47,0.75,"Some Democrats in Congress have proposed spending $125 billion a year to give Americans the option to buy health insurance through a government run program modeled on Medicare. This proposal, sometimes called a public option, would allow Americans to pay a monthly premium to the government, in exchange for receiving a health insurance plan with benefits similar to the national Medicare program. The public option plan would be subsidized by the federal government to make it more affordable.",it will provide an affordable alternative to private insurance that would increase competition and help drive down healthcare costs for all Americans.,it expands healthcare access and lowers costs while protecting private insurance and preserving consumer choice.,"it would eventually drive private insurers out of business, leading to a complete government takeover of healthcare and reducing quality and access to care.",we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.,it will provide an affordable alternative to private insurance that would increase competition and help drive down healthcare costs for all Americans.,it expands healthcare access and lowers costs while protecting private insurance and preserving consumer choice.,"it would eventually drive private insurers out of business, leading to a complete government takeover of healthcare and reducing quality and access to care.",we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.,5.60%,52.80%,47.20%,52.80%,52.80%,47.20%
Prevent kids under 13 from using social media,Democratic,,138,,6,53,47,53,53,47,0.75,"Some Democrats in Congress have proposed preventing children under the age of 13 from using social media platforms. Under this policy, social media companies would be required to verify users' ages and block access to their platforms for anyone under 13.","young children's developing brains are vulnerable to social media addiction and mental health harms, and they need protection from these negative effects.",it gives parents more control over their children's online activities and protects kids' wellbeing during crucial developmental years.,"it should be up to states to decide how to regulate social media, rather than a mandate from the federal government.","the it should be up to parents to decide if their child uses social media, rather than the federal government interfering with the free market.","young children's developing brains are vulnerable to social media addiction and mental health harms, and they need protection from these negative effects.",it gives parents more control over their children's online activities and protects kids' wellbeing during crucial developmental years.,"it should be up to states to decide how to regulate social media, rather than a mandate from the federal government.","the it should be up to parents to decide if their child uses social media, rather than the federal government interfering with the free market.",6.00%,53.00%,47.00%,53.00%,53.00%,47.00%
End remote work for federal employees,Republican,,66,,13,43,56,56,56,43,0.5,Some Republicans in the Trump administration are proposing to end widespread remote work for federal employees. Under this policy the Trump administration will require most federal workers to return to their offices 4-5 days per week.,it represents an outdated and inefficient approach to managing the federal workforce.,it ignores the proven success of remote work during the pandemic and will hurt recruitment and retention of skilled federal workers.,we need to restore order and efficiency to government operations.,remote work has reduced productivity and accountability in federal agencies and taxpayers deserve in-person service.,we need to restore order and efficiency to government operations.,remote work has reduced productivity and accountability in federal agencies and taxpayers deserve in-person service.,it represents an outdated and inefficient approach to managing the federal workforce.,it ignores the proven success of remote work during the pandemic and will hurt recruitment and retention of skilled federal workers.,13.00%,43.50%,56.50%,56.50%,56.50%,43.50%
Launch a national Trump branded cryptocurrency,Republican,,118,,-42,71,28,71,28,71,0.25,Some Republicans in the Trump administration are proposing to create an official Trump-branded digital currency. Under this policy the Trump administration will launch and promote a new cryptocurrency token tied to the Trump brand.,it represents an abuse of public office.,it inappropriately uses the presidency for personal profit and could mislead supporters into risky crypto investments.,we need American innovation in digital currency.,it will help establish American leadership in cryptocurrency markets while giving supporters a way to invest in Trump's vision.,we need American innovation in digital currency.,it will help establish American leadership in cryptocurrency markets while giving supporters a way to invest in Trump's vision.,it represents an abuse of public office.,it inappropriately uses the presidency for personal profit and could mislead supporters into risky crypto investments.,-42.60%,71.30%,28.70%,71.30%,28.70%,71.30%
Subsidize electric vehicle purchases,Democratic,,186,,-20,39,60,60,39,60,0.75,"Some Democrats in Congress have proposed spending $25 billion dollars a year to expand subsidies for electric vehicles. Under this proposal, Americans who purchase new electric cars or trucks would receive tax credits of up to $7,500 to help them pay for these electric vehicles.","it will accelerate the transition to clean transportation, reduce carbon emissions, and help combat climate change while creating manufacturing jobs.",it makes cleaner vehicles more affordable for everyday Americans while reducing dependence on fossil fuels.,it's a taxpayer-funded subsidy primarily benefiting wealthy Americans who can already afford expensive electric vehicles.,we shouldn't be spending tens of billions on unnecessary programs with inflation and the national debt already too high.,"it will accelerate the transition to clean transportation, reduce carbon emissions, and help combat climate change while creating manufacturing jobs.",it makes cleaner vehicles more affordable for everyday Americans while reducing dependence on fossil fuels.,it's a taxpayer-funded subsidy primarily benefiting wealthy Americans who can already afford expensive electric vehicles.,we shouldn't be spending tens of billions on unnecessary programs with inflation and the national debt already too high.,-20.60%,39.70%,60.30%,60.30%,39.70%,60.30%
Raise corporate tax rate to 28%,Democratic,,148,,13,56,43,56,56,43,0.75,"Some Democrats in Congress have proposed raising the corporate tax rate from 21% to 28%. Under this policy, corporations would have to pay an additional 7% in taxes on their profits each year.","it will ensure large corporations pay their fair share and generate revenue needed for investments in infrastructure, education, and healthcare that benefit all Americans.",it makes the tax system more fair and helps fund vital programs without burdening working families.,"higher corporate taxes will kill jobs, reduce wages, increase consumer prices, and make American companies less competitive globally.",it would reverse economic growth and ultimately hurt workers and families through lower employment and higher prices.,"it will ensure large corporations pay their fair share and generate revenue needed for investments in infrastructure, education, and healthcare that benefit all Americans.",it makes the tax system more fair and helps fund vital programs without burdening working families.,"higher corporate taxes will kill jobs, reduce wages, increase consumer prices, and make American companies less competitive globally.",it would reverse economic growth and ultimately hurt workers and families through lower employment and higher prices.,13.40%,56.70%,43.30%,56.70%,56.70%,43.30%
Repeal bank overdraft regulations,Republican,,164,,-6,53,46,53,46,53,0.5,"Some Republicans in the Trump administration are proposing to eliminate the $5 cap on bank overdraft fees. Under this policy, the Trump administration would repeal government rules that prohibit banks from charging more than $5 in fees to customers who withdraw more than their account balance.",that with costs on the rise we shouldn't be eliminating rules that save hardworking Americans money and protect working people from big banks.,it prioritizes bank profits over protecting vulnerable consumers from predatory financial practices.,"it's not the governments role to interfere with the free market, and that this bill will reduce consumer choice in financial services.","consumers should have the freedom to choose financial products without government intervention, and personal responsibility should be encouraged rather than government protection.","it's not the governments role to interfere with the free market, and that this bill will reduce consumer choice in financial services.","consumers should have the freedom to choose financial products without government intervention, and personal responsibility should be encouraged rather than government protection.",that with costs on the rise we shouldn't be eliminating rules that save hardworking Americans money and protect working people from big banks.,it prioritizes bank profits over protecting vulnerable consumers from predatory financial practices.,-6.40%,53.20%,46.80%,53.20%,46.80%,53.20%
Reduce occupational licensing requirements,Democratic,,157,,-24,37,62,62,37,62,0.5,"Some Democrats in Congress have proposed reducing the requirements to get an occupational license. Under this bill, the requirements to acquire a license for many jobs, such as hairdressers, nail salons, child care workers, and more, would be reduced.","with inflation on the rise, we should be removing regulations that drive up costs for consumers and create create barriers to employment for low-income workers.",it promotes economic mobility and creates more pathways to the middle class for hardworking people looking to find good-paying jobs.,it undermines established business owners by forcing them to compete with untrained people who might endanger their customers.,"current licensing policy works fine, and this is an unnecessary reform that risks harming consumers and legalizing unsafe businesses.","with inflation on the rise, we should be removing regulations that drive up costs for consumers and create create barriers to employment for low-income workers.",it promotes economic mobility and creates more pathways to the middle class for hardworking people looking to find good-paying jobs.,it undermines established business owners by forcing them to compete with untrained people who might endanger their customers.,"current licensing policy works fine, and this is an unnecessary reform that risks harming consumers and legalizing unsafe businesses.",-24.60%,37.70%,62.30%,62.30%,37.70%,62.30%
Increase IRS funding in order to increase audits of the wealthy,Democratic,,105,,6,53,46,53,53,46,0.75,"Some Democrats in Congress have proposed increasing funding for the Internal Revenue Service (IRS) by 80 billion dollars over the next ten years. The additional funding would primarily go towards increasing the enforcement of tax laws on wealthy Americans, and would raise an estimated 700 billion dollars in revenue. 

",it will ensure billionaires and large corporations pay their fair share of taxes rather than exploiting loopholes and hiding assets.,it promotes tax fairness and generates revenue without raising taxes on working Americans.,"that increasing spending on the IRS will lead to more middle class Americans being audited, and higher taxes on working people.",it represents government overreach that will burden hardworking Americans with audits while the truly wealthy find new ways to avoid taxes.,it will ensure billionaires and large corporations pay their fair share of taxes rather than exploiting loopholes and hiding assets.,it promotes tax fairness and generates revenue without raising taxes on working Americans.,"that increasing spending on the IRS will lead to more middle class Americans being audited, and higher taxes on working people.",it represents government overreach that will burden hardworking Americans with audits while the truly wealthy find new ways to avoid taxes.,6.40%,53.20%,46.80%,53.20%,53.20%,46.80%
Declare a national energy emergency,Republican,,45,,11,44,55,55,55,44,0.75,Some Republicans in the Trump administration are proposing to declare a national energy emergency to speed up permits for energy projects. Under this policy the Trump administration will fast-track approval for pipelines power plants and other energy infrastructure.,it would bypass important environmental reviews and community input processes that protect public health and safety.,it puts corporate profits ahead of environmental protection.,we must act decisively to secure America's energy future.,bureaucratic red tape is blocking vital energy projects needed for American energy independence.,we must act decisively to secure America's energy future.,bureaucratic red tape is blocking vital energy projects needed for American energy independence.,it would bypass important environmental reviews and community input processes that protect public health and safety.,it puts corporate profits ahead of environmental protection.,11.40%,44.30%,55.70%,55.70%,55.70%,44.30%
Free public college tuition (means-tested),Democratic,,85,,-2,48,51,51,48,51,0.5,"Some Democrats in Congress have proposed spending $65 billion dollars a year to make public college tuition free for some students. Under this bill, any American student who is accepted into a public college or university and whose parents make less than $125,000 a year would be allowed to attend for free.  
","higher education should be a right for all Americans, not a privilege for the wealthy, and this policy would boost economic mobility and productivity nationwide.","it recognizes education is essential for competing in the global economy and should be accessible to everyone, regardless of family income.","we shouldn't force taxpayers, including those who didn't attend college, to pay tens of billions of dollars to pay for other people's choice to go to college.",we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.,"higher education should be a right for all Americans, not a privilege for the wealthy, and this policy would boost economic mobility and productivity nationwide.","it recognizes education is essential for competing in the global economy and should be accessible to everyone, regardless of family income.","we shouldn't force taxpayers, including those who didn't attend college, to pay tens of billions of dollars to pay for other people's choice to go to college.",we shouldn't be spending tens of billions of dollars on new programs with inflation and the national debt already too high.,-2.20%,48.90%,51.10%,51.10%,48.90%,51.10%
Free public college tuition (universal),Democratic,,86,,-15,42,57,57,42,57,0.5,"Some Democrats in Congress have proposed spending $100 billion dollars a year to make public college tuition free for all Americans, regardless of income. Under this bill, any American student who is accepted into a public college or university would be allowed to attend for free.  
","higher education should be a right for all Americans, not a privilege for the wealthy, and this policy would boost economic mobility and productivity nationwide.","it recognizes education is essential for competing in the global economy and should be accessible to everyone, regardless of family income.","we shouldn't force taxpayers, including those who didn't attend college, to pay hundreds of billions of dollars to pay for other people's choice to go to college.",we shouldn't be spending hundreds of billions of dollars on new programs with inflation and the national debt already too high.,"higher education should be a right for all Americans, not a privilege for the wealthy, and this policy would boost economic mobility and productivity nationwide.","it recognizes education is essential for competing in the global economy and should be accessible to everyone, regardless of family income.","we shouldn't force taxpayers, including those who didn't attend college, to pay hundreds of billions of dollars to pay for other people's choice to go to college.",we shouldn't be spending hundreds of billions of dollars on new programs with inflation and the national debt already too high.,-15.00%,42.50%,57.50%,57.50%,42.50%,57.50%
Create a $1000 a year universal basic income,Democratic,,30,,-19,40,59,59,40,59,0.5,"Some Democrats in Congress have proposed spending $260 billion dollars a year to give $1,000 per year to every American over the age of 18. Under this bill, the money would be paid out as a “universal basic income” to every American adult, no matter who they are.",it provides a basic financial floor that acknowledges everyone's right to share in America's prosperity while boosting consumer spending and economic growth.,it reduces poverty and provides security in an economy increasingly affected by automation and job displacement.,"spending hundreds of billions of dollars on a new program without work requirements will require tax increases to fund, which will hurt our economy and cost jobs.","we shouldn't be spending hundreds of billions of dollars on new programs with inflation and the national debt already too high, especially without work requirements.",it provides a basic financial floor that acknowledges everyone's right to share in America's prosperity while boosting consumer spending and economic growth.,it reduces poverty and provides security in an economy increasingly affected by automation and job displacement.,"spending hundreds of billions of dollars on a new program without work requirements will require tax increases to fund, which will hurt our economy and cost jobs.","we shouldn't be spending hundreds of billions of dollars on new programs with inflation and the national debt already too high, especially without work requirements.",-19.20%,40.40%,59.60%,59.60%,40.40%,59.60%
Deploy the military to help with border security,Republican,,49,,25,37,62,62,62,37,1,Some Republicans in the Trump administration are proposing to expand the military's role in border security operations. Under this policy the Trump administration will direct the military to combat illegal migration drug trafficking and human smuggling at the border.,using military forces for domestic law enforcement violates long-standing US laws and could lead to dangerous confrontations with civilians.,it represents a dangerous militarization of our immigration system.,we must use all available resources to protect our nation's sovereignty and security.,the border situation has become so severe that we need military resources and personnel to properly secure it and support overwhelmed border agents.,we must use all available resources to protect our nation's sovereignty and security.,the border situation has become so severe that we need military resources and personnel to properly secure it and support overwhelmed border agents.,using military forces for domestic law enforcement violates long-standing US laws and could lead to dangerous confrontations with civilians.,it represents a dangerous militarization of our immigration system.,25.40%,37.30%,62.70%,62.70%,62.70%,37.30%
End policies promoting electric vehicles,Republican,,65,,11,44,55,55,55,44,0.75,Some Republicans in the Trump administration are proposing to end federal policies that encourage electric vehicle adoption and efficiency standards. Under this policy the Trump administration will eliminate programs promoting electric cars and roll back efficiency rules for consumer appliances.,it will increase pollution and energy costs for consumers while making America fall behind other countries in clean vehicle technology.,it represents a harmful reversal of environmental progress.,we must protect consumer choice and affordability.,current policies force expensive electric vehicles on consumers and restrict their freedom to choose affordable traditional cars and appliances.,we must protect consumer choice and affordability.,current policies force expensive electric vehicles on consumers and restrict their freedom to choose affordable traditional cars and appliances.,it will increase pollution and energy costs for consumers while making America fall behind other countries in clean vehicle technology.,it represents a harmful reversal of environmental progress.,11.40%,44.30%,55.70%,55.70%,55.70%,44.30%
Abolish prisons,Democratic,,2,,-54,22,77,77,22,77,0.25,"Some Democrats in Congress have proposed to abolish all prisons. Under this policy, all criminals would be sent to diversion programs, rehab, or mental health programs, rather than having to serve time in jail.
",prisons have failed to rehabilitate people and disproportionately harm communities of color while doing little to address the root causes of crime.,it represents a more humane and effective approach to justice focused on rehabilitation rather than punishment.,"people who commit violent crimes like murder and assault should be punished for that, and for that we need prisons.","that if we get rid of prisons, there will be no reason for people not to commit crimes freely. They say this will increase violence, and make our communities less safe.",prisons have failed to rehabilitate people and disproportionately harm communities of color while doing little to address the root causes of crime.,it represents a more humane and effective approach to justice focused on rehabilitation rather than punishment.,"people who commit violent crimes like murder and assault should be punished for that, and for that we need prisons.","that if we get rid of prisons, there will be no reason for people not to commit crimes freely. They say this will increase violence, and make our communities less safe.",-54.60%,22.70%,77.30%,77.30%,22.70%,77.30%
End federal DEI programs,Republican,,63,,6,47,53,53,53,47,0.75,Some Republicans in the Trump administration are proposing to eliminate diversity equity and inclusion programs across federal agencies. Under this policy the Trump administration will end DEI training initiatives and related programs.,it will harm workplace fairness and remove programs that help ensure federal services reach underserved communities.,it represents a step backward for equality and fairness.,we need to restore merit-based systems in government.,these programs promote division create wasteful bureaucracy and discriminate against certain groups of Americans.,we need to restore merit-based systems in government.,these programs promote division create wasteful bureaucracy and discriminate against certain groups of Americans.,it will harm workplace fairness and remove programs that help ensure federal services reach underserved communities.,it represents a step backward for equality and fairness.,6.00%,47.00%,53.00%,53.00%,53.00%,47.00%
Cancel Biden's AI regulations,Republican,,23,,-20,60,40,60,40,60,0.5,Some Republicans in the Trump administration are proposing to rescind federal safety standards for artificial intelligence. Under this policy the Trump administration will eliminate Biden's executive order on AI safety and oversight.,removing AI safeguards leaves Americans vulnerable to job displacement security risks and algorithmic discrimination.,it represents dangerous deregulation of powerful technology.,we must reduce government interference in technology.,AI regulations stifle American innovation and give foreign competitors an advantage in developing new technologies.,we must reduce government interference in technology.,AI regulations stifle American innovation and give foreign competitors an advantage in developing new technologies.,removing AI safeguards leaves Americans vulnerable to job displacement security risks and algorithmic discrimination.,it represents dangerous deregulation of powerful technology.,-20.00%,60.00%,40.00%,60.00%,40.00%,60.00%
Declare a border emergency,Republican,,44,,5,47,52,52,52,47,1,Some Republicans in the Trump administration are proposing to declare the border situation a national emergency to unlock funding for wall construction. Under this policy the Trump administration will bypass Congress to redirect federal funds toward building more border wall.,it's an abuse of emergency powers to bypass Congress's constitutional authority over spending and that walls are ineffective at stopping illegal crossings.,it represents executive overreach and wastes taxpayer money on ineffective solutions.,we must take bold action to secure our borders and protect American communities.,the surge in illegal crossings constitutes a genuine emergency requiring immediate action that can't wait for a gridlocked Congress.,we must take bold action to secure our borders and protect American communities.,the surge in illegal crossings constitutes a genuine emergency requiring immediate action that can't wait for a gridlocked Congress.,it's an abuse of emergency powers to bypass Congress's constitutional authority over spending and that walls are ineffective at stopping illegal crossings.,it represents executive overreach and wastes taxpayer money on ineffective solutions.,5.80%,47.10%,52.90%,52.90%,52.90%,47.10%
25% tariffs on Canada and Mexico,Republican,,1,,-2,51,48,51,48,51,0.5,"Some Republicans in the Trump administration are proposing to impose 25 percent tariffs on goods from Canada and Mexico. Under this policy the Trump administration will add new trade taxes on Canadian and Mexican imports, in retaliation for concerns about border security.",these tariffs will raise prices for American consumers and trigger counter retaliation that hurts American farmers and manufacturers.,it represents harmful economic nationalism.,we must use economic pressure to defend our borders.,Canada and Mexico aren't doing enough to stop illegal immigration and drug trafficking at our borders.,we must use economic pressure to defend our borders.,Canada and Mexico aren't doing enough to stop illegal immigration and drug trafficking at our borders.,these tariffs will raise prices for American consumers and trigger counter retaliation that hurts American farmers and manufacturers.,it represents harmful economic nationalism.,-2.20%,51.10%,48.90%,51.10%,48.90%,51.10%
End “catch-and-release” for undocumented immigrants apprehended at the border,Republican,,60,,23,38,61,61,61,38,1,"Some Republicans in the Trump administration are proposing to end catch and release immigration policies. Under this policy the Trump administration will detain all migrants who enter illegally, rather than releasing them to await hearings.",it would require massive expensive detention facilities and separate families while violating due process rights.,it represents inhumane treatment of migrants seeking safety.,we need strict enforcement of our immigration laws.,releasing migrants into the US encourages illegal immigration and many never show up for their court dates.,we need strict enforcement of our immigration laws.,releasing migrants into the US encourages illegal immigration and many never show up for their court dates.,it would require massive expensive detention facilities and separate families while violating due process rights.,it represents inhumane treatment of migrants seeking safety.,23.20%,38.40%,61.60%,61.60%,61.60%,38.40%
Prevent DOGE from making any changes to the administration of Social Security or Medicare benefits,Democratic,,137,,9,54,45,54,54,45,0.25,"Some Democrats in Congress have proposed preventing the Department of Government Efficiency, also known as DOGE, from making any changes to the administration of Social Security or Medicare. Under this bill, DOGE would not be allowed to fire workers responsible for administering Social Security or Medicare, or make any changes to who receives Social Security or Medicare benefits.",it protects essential benefits that seniors have earned and prevents unelected officials from undermining programs millions of Americans rely on for retirement security and healthcare.,it safeguards critical safety net programs from arbitrary cuts that could harm vulnerable Americans.,it prevents common-sense reforms that could improve services for beneficiaries while reducing waste and administrative bloat in these important programs.,it preserves inefficiency and bureaucracy in government programs that need modernization to remain solvent for future generations.,it protects essential benefits that seniors have earned and prevents unelected officials from undermining programs millions of Americans rely on for retirement security and healthcare.,it safeguards critical safety net programs from arbitrary cuts that could harm vulnerable Americans.,it prevents common-sense reforms that could improve services for beneficiaries while reducing waste and administrative bloat in these important programs.,it preserves inefficiency and bureaucracy in government programs that need modernization to remain solvent for future generations.,9.20%,54.60%,45.40%,54.60%,54.60%,45.40%
